template,frequency
"The [X], who said Jones, is [Y]",3
"The [X], who rung, is [Y]",1
"The [X], who said a hand, is [Y]",1
"The [X], who glanced urgently at the clock, is [Y]",1
"The [X], who clicked round to 2:59, is [Y]",1
"The [X], who leaved the search, is [Y]",1
"The [X], who streamed like a river, is [Y]",1
"The [X], who emptied dramatically with glasses, is [Y]",1
"The [X], who melted the them, is [Y]",1
"The [X], who vacated box, is [Y]",1
"The [X], who waited, is [Y]",1
"The [X], who deserted the buildings, is [Y]",1
"The [X], who stayed Jones, is [Y]",1
"The [X], who collected the apprehension, is [Y]",1
"The [X], who told each other, is [Y]",1
"The [X], who was a hoax, is [Y]",1
"The [X], who took charge of the safety, is [Y]",1
"The [X], who made sure, is [Y]",1
"The [X], who smiled, is [Y]",8
"The [X], who bustled from building, is [Y]",1
"The [X], who saw no people, is [Y]",1
"The [X], who saw no bomb, is [Y]",1
"The [X], who returned a little, is [Y]",1
"The [X], who put the idea, is [Y]",1
"The [X], who bustled speedily from bar, is [Y]",1
"The [X], who was in a panic, is [Y]",1
"The [X], who came, is [Y]",23
"The [X], who flickered unsuspectingly over the fedora, is [Y]",1
"The [X], who stopped him from, is [Y]",1
"The [X], who frowned uncertainly at the segments, is [Y]",1
"The [X], who turned head, is [Y]",3
"The [X], who made another announcement, is [Y]",1
"The [X], who appeared the hoax, is [Y]",1
"The [X], who was safe, is [Y]",2
"The [X], who streamed back in reverse, is [Y]",1
"The [X], who returned to posts, is [Y]",1
"The [X], who pinched the takings, is [Y]",1
"The [X], who took tips, is [Y]",1
"The [X], who stood, is [Y]",6
"The [X], who looked with disbelief, is [Y]",1
"The [X], who joined the clamor, is [Y]",1
"The [X], who received report after report, is [Y]",1
"The [X], who knew, is [Y]",4
"The [X], who knew no measures, is [Y]",1
"The [X], who equipped to deal, is [Y]",1
"The [X], who blamed him, is [Y]",1
"The [X], who gave the sack, is [Y]",1
"The [X], who listened with relief, is [Y]",1
"The [X], who appeared gloomily before a magistrate, is [Y]",1
"The [X], who was hot, is [Y]",1
"The [X], who brightened future, is [Y]",1
"The [X], who tried to get all information, is [Y]",1
"The [X], who hid the part, is [Y]",1
"The [X], who said nothing, is [Y]",2
"The [X], who was room in the case, is [Y]",1
"The [X], who put the bulk, is [Y]",1
"The [X], who got the rest, is [Y]",1
"The [X], who believed it, is [Y]",7
"The [X], who grinned head, is [Y]",1
"The [X], who knew from experience, is [Y]",1
"The [X], who treated with awe, is [Y]",1
"The [X], who had status, is [Y]",1
"The [X], who persuaded to spill him, is [Y]",1
"The [X], who took an disgrace, is [Y]",1
"The [X], who warned you, is [Y]",2
"The [X], who needed locks, is [Y]",1
"The [X], who was some devices, is [Y]",1
"The [X], who glared belligerently round the table, is [Y]",1
"The [X], who kept to bolt eyes, is [Y]",1
"The [X], who poured a gin, is [Y]",1
"The [X], who lied a pile, is [Y]",1
"The [X], who sighed, is [Y]",2
"The [X], who forgot the shock, is [Y]",1
"The [X], who got over the fright, is [Y]",1
"The [X], who forgot the rush, is [Y]",1
"The [X], who knew one of the sellers, is [Y]",1
"The [X], who thought to lift the money, is [Y]",1
"The [X], who was silly at the time, is [Y]",1
"The [X], who was cash at the window, is [Y]",1
"The [X], who sat in thinking, is [Y]",1
"The [X], who repeated the inspection, is [Y]",1
"The [X], who gave assistance, is [Y]",1
"The [X], who said the officer, is [Y]",1
"The [X], who got a bird, is [Y]",1
"The [X], who smiled gently at the memory, is [Y]",1
"The [X], who made the most, is [Y]",1
"The [X], who drove away on evening, is [Y]",1
"The [X], who leant over the arm, is [Y]",1
"The [X], who was set in the past, is [Y]",1
"The [X], who feared flying, is [Y]",1
"The [X], who raised heartbeat, is [Y]",1
"The [X], who travelled from home, is [Y]",1
"The [X], who was a murderer by trade, is [Y]",1
"The [X], who loved for himself, is [Y]",1
"The [X], who taught to shoot him, is [Y]",1
"The [X], who was presented to Jacques, is [Y]",1
"The [X], who considered himself, is [Y]",1
"The [X], who hit vulgar, is [Y]",1
"The [X], who accepted sure, is [Y]",1
"The [X], who insisted on the construction, is [Y]",1
"The [X], who was on a particular, is [Y]",1
"The [X], who committed himself to the task, is [Y]",1
"The [X], who sustained him, is [Y]",1
"The [X], who kept unsafe before the act, is [Y]",1
"The [X], who said to himself, is [Y]",2
"The [X], who grew impatient at the delays, is [Y]",1
"The [X], who packed bag, is [Y]",1
"The [X], who took with him, is [Y]",1
"The [X], who carried the lot, is [Y]",1
"The [X], who ran into no trouble, is [Y]",1
"The [X], who drove contentedly through the fields, is [Y]",1
"The [X], who felt the affinity, is [Y]",1
"The [X], who dug into memory, is [Y]",1
"The [X], who won the race, is [Y]",1
"The [X], who gave horses, is [Y]",1
"The [X], who searched true of horses, is [Y]",1
"The [X], who searched for youth, is [Y]",1
"The [X], who watched the riders, is [Y]",1
"The [X], who saw what, is [Y]",2
"The [X], who wasted no time, is [Y]",1
"The [X], who rocked the fraternity, is [Y]",1
"The [X], who had to do the proposal, is [Y]",1
"The [X], who listened to the offer, is [Y]",1
"The [X], who was offered, is [Y]",1
"The [X], who employed two professionals, is [Y]",1
"The [X], who was classed as an novice, is [Y]",1
"The [X], who applied for a license, is [Y]",1
"The [X], who met Joe, is [Y]",1
"The [X], who knew sneers, is [Y]",1
"The [X], who lambasted Joe for two jockeys, is [Y]",1
"The [X], who trusted instincts, is [Y]",1
"The [X], who shook hands with the him, is [Y]",1
"The [X], who smiled to himself, is [Y]",2
"The [X], who summonned pride in an jockey, is [Y]",1
"The [X], who thought status, is [Y]",1
"The [X], who took a determination, is [Y]",1
"The [X], who felt anything like it, is [Y]",1
"The [X], who rose as one, is [Y]",1
"The [X], who swept round the hill, is [Y]",1
"The [X], who shared the will, is [Y]",1
"The [X], who smiled faintly at each other, is [Y]",1
"The [X], who knew he, is [Y]",4
"The [X], who embraced future, is [Y]",1
"The [X], who watched the race, is [Y]",1
"The [X], who was on the horse, is [Y]",1
"The [X], who was schooled, is [Y]",1
"The [X], who was minor compared the insult, is [Y]",1
"The [X], who burnt with resentment, is [Y]",1
"The [X], who basked in position, is [Y]",1
"The [X], who felt all of Rockmans, is [Y]",1
"The [X], who surveyed the faces, is [Y]",1
"The [X], who said to them, is [Y]",1
"The [X], who had good at the course, is [Y]",1
"The [X], who listened in silence, is [Y]",1
"The [X], who was high in the world, is [Y]",1
"The [X], who meant a drop, is [Y]",1
"The [X], who used to dominate the power, is [Y]",1
"The [X], who liked to slap them, is [Y]",1
"The [X], who felt superior, is [Y]",1
"The [X], who strode a symbol, is [Y]",1
"The [X], who was jobs, is [Y]",1
"The [X], who looked straight at determination, is [Y]",1
"The [X], who asked, is [Y]",3
"The [X], who told him, is [Y]",8
"The [X], who picked crumbs, is [Y]",1
"The [X], who proved right, is [Y]",1
"The [X], who galvanized each other, is [Y]",1
"The [X], who died away for one win, is [Y]",1
"The [X], who offered horses, is [Y]",1
"The [X], who rented a lot, is [Y]",1
"The [X], who seemed no wrong, is [Y]",1
"The [X], who led the list, is [Y]",1
"The [X], who was reconciled to ness, is [Y]",1
"The [X], who lived in the house, is [Y]",1
"The [X], who settled for comfort, is [Y]",1
"The [X], who remained separate, is [Y]",1
"The [X], who smiled the smile, is [Y]",1
"The [X], who saw blazing, is [Y]",1
"The [X], who owed to the multiplication, is [Y]",1
"The [X], who rode a amount, is [Y]",1
"The [X], who assured himself, is [Y]",2
"The [X], who was unaware to realize the Rock, is [Y]",1
"The [X], who flocked Millbrook, is [Y]",1
"The [X], who sent a message, is [Y]",1
"The [X], who thought it, is [Y]",6
"The [X], who kept due to race, is [Y]",1
"The [X], who set a him, is [Y]",1
"The [X], who was paths, is [Y]",1
"The [X], who was right in a pattern, is [Y]",1
"The [X], who was red against Millbrook, is [Y]",1
"The [X], who waited for the green, is [Y]",1
"The [X], who approached car, is [Y]",1
"The [X], who was dressed as a tourist, is [Y]",1
"The [X], who pressed a button, is [Y]",1
"The [X], who advanced the map, is [Y]",1
"The [X], who said the tourist, is [Y]",1
"The [X], who thought, is [Y]",16
"The [X], who leant towards the window, is [Y]",1
"The [X], who shot him, is [Y]",1
"The [X], who took pride in a need, is [Y]",1
"The [X], who considered standards, is [Y]",1
"The [X], who took pleasure in victims, is [Y]",1
"The [X], who was kind, is [Y]",2
"The [X], who looked exclusively at the map, is [Y]",1
"The [X], who had time, is [Y]",3
"The [X], who had a speed, is [Y]",1
"The [X], who destroyed brain, is [Y]",1
"The [X], who felt nothing, is [Y]",2
"The [X], who lost identity, is [Y]",1
"The [X], who hid in folds, is [Y]",1
"The [X], who made a gesture, is [Y]",1
"The [X], who went unhurriedly along a path, is [Y]",1
"The [X], who turned to green, is [Y]",1
"The [X], who discovered the splinters, is [Y]",1
"The [X], who leaved home at times, is [Y]",1
"The [X], who sat defenseless before them, is [Y]",1
"The [X], who practiced at home, is [Y]",1
"The [X], who accepted the proposition, is [Y]",1
"The [X], who went wrong, is [Y]",2
"The [X], who leaved London, is [Y]",1
"The [X], who fretted helplessly in London, is [Y]",1
"The [X], who read secure, is [Y]",1
"The [X], who aborted mission, is [Y]",1
"The [X], who was cold, is [Y]",4
"The [X], who surprised Jacques, is [Y]",1
"The [X], who realized to hear the heroes, is [Y]",1
"The [X], who was set a price, is [Y]",1
"The [X], who sat at table, is [Y]",1
"The [X], who pursed lips, is [Y]",2
"The [X], who paused at side, is [Y]",1
"The [X], who killed a fellow, is [Y]",1
"The [X], who sighed at the villainy, is [Y]",1
"The [X], who ed a letter for you, is [Y]",1
"The [X], who gave a leer, is [Y]",1
"The [X], who accepted the letters, is [Y]",1
"The [X], who risked withholding, is [Y]",1
"The [X], who was expected that, is [Y]",1
"The [X], who was a man of instinct, is [Y]",1
"The [X], who made client, is [Y]",1
"The [X], who operated on a level, is [Y]",1
"The [X], who worked on fact, is [Y]",1
"The [X], who thought crooks, is [Y]",1
"The [X], who took a view, is [Y]",2
"The [X], who wondered a rank, is [Y]",1
"The [X], who put heads, is [Y]",2
"The [X], who interviewed green, is [Y]",1
"The [X], who was people in the park, is [Y]",1
"The [X], who was winter, is [Y]",1
"The [X], who leaved no clues, is [Y]",1
"The [X], who dug out the chassis, is [Y]",1
"The [X], who killed anyone with a gun, is [Y]",1
"The [X], who remained unsolved, is [Y]",1
"The [X], who changed to respect mind, is [Y]",1
"The [X], who was likely to harmed the jockey, is [Y]",1
"The [X], who believed in sight, is [Y]",1
"The [X], who saw genius, is [Y]",1
"The [X], who did what methods, is [Y]",1
"The [X], who shook head, is [Y]",9
"The [X], who seemed from, is [Y]",1
"The [X], who told the fiddle, is [Y]",1
"The [X], who asserted, is [Y]",1
"The [X], who did it, is [Y]",16
"The [X], who stopped throat, is [Y]",1
"The [X], who brought Joe, is [Y]",1
"The [X], who knew another Millbrook, is [Y]",1
"The [X], who knew who, is [Y]",2
"The [X], who had to run, is [Y]",1
"The [X], who telephoned demanding, is [Y]",1
"The [X], who had to go, is [Y]",2
"The [X], who mended like magic, is [Y]",1
"The [X], who missed Millbrook, is [Y]",1
"The [X], who won races, is [Y]",1
"The [X], who was at the service, is [Y]",1
"The [X], who saw the evil, is [Y]",1
"The [X], who telephoned the superintendent, is [Y]",1
"The [X], who repeated, is [Y]",1
"The [X], who was rare, is [Y]",2
"The [X], who thought to himself, is [Y]",2
"The [X], who was the dynamics of deaths, is [Y]",1
"The [X], who was no smell of it, is [Y]",1
"The [X], who leaved you, is [Y]",1
"The [X], who looked at the currents, is [Y]",1
"The [X], who thought the killer, is [Y]",1
"The [X], who thought tapped, is [Y]",1
"The [X], who was no cookies, is [Y]",1
"The [X], who was positive, is [Y]",4
"The [X], who killed him, is [Y]",1
"The [X], who saw hatred, is [Y]",1
"The [X], who underestimated the violence, is [Y]",1
"The [X], who saw him, is [Y]",3
"The [X], who was certain, is [Y]",2
"The [X], who went after him, is [Y]",1
"The [X], who ed a murderer about, is [Y]",1
"The [X], who took the warning, is [Y]",1
"The [X], who told to look him, is [Y]",1
"The [X], who began asking, is [Y]",1
"The [X], who found a killer, is [Y]",1
"The [X], who payed him, is [Y]",3
"The [X], who sent a check, is [Y]",1
"The [X], who willed he, is [Y]",1
"The [X], who wanted more, is [Y]",1
"The [X], who shredded offering, is [Y]",1
"The [X], who tormented The Rock, is [Y]",1
"The [X], who began shaking, is [Y]",1
"The [X], who accused in ear, is [Y]",1
"The [X], who went to races, is [Y]",3
"The [X], who was the days, is [Y]",1
"The [X], who was the hero, is [Y]",1
"The [X], who lost appeal, is [Y]",1
"The [X], who strode with arrogance, is [Y]",1
"The [X], who slapped calf, is [Y]",1
"The [X], who used to the swagger, is [Y]",1
"The [X], who had more than, is [Y]",1
"The [X], who leaved me, is [Y]",1
"The [X], who wanted to know boy, is [Y]",1
"The [X], who screamed I, is [Y]",1
"The [X], who glanced sideways at the wreck, is [Y]",1
"The [X], who saw the atrophy, is [Y]",1
"The [X], who went soft, is [Y]",1
"The [X], who edged from reasonableness, is [Y]",1
"The [X], who said the thing, is [Y]",1
"The [X], who thought Shoot, is [Y]",1
"The [X], who ed simple, is [Y]",1
"The [X], who ed pathetic, is [Y]",1
"The [X], who watched to apologize jockeys, is [Y]",1
"The [X], who began to believe the gun, is [Y]",1
"The [X], who changed certainty, is [Y]",1
"The [X], who told harder to replace jockey, is [Y]",1
"The [X], who gave enough, is [Y]",1
"The [X], who burnt behind eyes, is [Y]",1
"The [X], who got The job, is [Y]",1
"The [X], who did, is [Y]",9
"The [X], who had the drive, is [Y]",1
"The [X], who carried, is [Y]",3
"The [X], who swore to revenge himself, is [Y]",1
"The [X], who drove erratically in silence, is [Y]",1
"The [X], who felt allegiance, is [Y]",1
"The [X], who told to fix brother, is [Y]",1
"The [X], who smiled Jacques, is [Y]",1
"The [X], who smelt the scent, is [Y]",1
"The [X], who stood at the window, is [Y]",1
"The [X], who contained a photograph, is [Y]",1
"The [X], who began to take a interest, is [Y]",1
"The [X], who bought occasionally from newspapers, is [Y]",1
"The [X], who became idiomatic, is [Y]",1
"The [X], who refused two terminations, is [Y]",1
"The [X], who cared nothing about motives, is [Y]",1
"The [X], who cared clear, is [Y]",1
"The [X], who cared nothing, is [Y]",1
"The [X], who was a mercenary, is [Y]",1
"The [X], who crossed the Channel, is [Y]",1
"The [X], who fell to prolong racing, is [Y]",1
"The [X], who made checks, is [Y]",1
"The [X], who listened to the chat, is [Y]",1
"The [X], who came out house, is [Y]",1
"The [X], who made rounds, is [Y]",1
"The [X], who was the Jacques, is [Y]",1
"The [X], who decisioned a England, is [Y]",1
"The [X], who lessened could remembering grief, is [Y]",1
"The [X], who mourned to continue the past, is [Y]",1
"The [X], who reduced the villain, is [Y]",1
"The [X], who was engaged to ride race, is [Y]",1
"The [X], who finished to last, is [Y]",1
"The [X], who spent time, is [Y]",5
"The [X], who went with amusement, is [Y]",1
"The [X], who gave a glance, is [Y]",1
"The [X], who looked at murderer, is [Y]",1
"The [X], who rubbed sleeves with The Rock, is [Y]",1
"The [X], who decided to increase fee, is [Y]",1
"The [X], who demanded the rest, is [Y]",1
"The [X], who drove him, is [Y]",1
"The [X], who admitted you, is [Y]",1
"The [X], who sent every cent, is [Y]",1
"The [X], who passed two letters, is [Y]",1
"The [X], who winked to think, is [Y]",1
"The [X], who took letters, is [Y]",1
"The [X], who contained the whole, is [Y]",1
"The [X], who proposed the assassination, is [Y]",1
"The [X], who stood by window, is [Y]",1
"The [X], who warned him, is [Y]",1
"The [X], who depended in part, is [Y]",2
"The [X], who survived murder, is [Y]",1
"The [X], who made that identity, is [Y]",1
"The [X], who was to Wanted, is [Y]",1
"The [X], who included the offer, is [Y]",1
"The [X], who banked savings, is [Y]",1
"The [X], who reconnoiterred the job, is [Y]",1
"The [X], who was careful, is [Y]",1
"The [X], who spent alone, is [Y]",1
"The [X], who was a wife, is [Y]",1
"The [X], who was a hazard, is [Y]",1
"The [X], who sent an acceptance, is [Y]",1
"The [X], who spent the weekend, is [Y]",1
"The [X], who set wrong, is [Y]",1
"The [X], who broke, is [Y]",2
"The [X], who went into a office, is [Y]",1
"The [X], who wanted to spend the weekend, is [Y]",1
"The [X], who flew, is [Y]",1
"The [X], who gestured to a poster, is [Y]",1
"The [X], who shuddered to sweat, is [Y]",1
"The [X], who rented a car, is [Y]",1
"The [X], who arranged it, is [Y]",1
"The [X], who took an grip, is [Y]",1
"The [X], who said would take the boat, is [Y]",1
"The [X], who arranged a car, is [Y]",1
"The [X], who busied herself on the telephone, is [Y]",1
"The [X], who told able to travel him, is [Y]",1
"The [X], who was splendid, is [Y]",1
"The [X], who progressed from fear, is [Y]",1
"The [X], who gave tickets, is [Y]",1
"The [X], who carried with him, is [Y]",1
"The [X], who boarded laden with bags, is [Y]",1
"The [X], who found a seat, is [Y]",1
"The [X], who moved, is [Y]",3
"The [X], who cleared the mole, is [Y]",1
"The [X], who /rolled off ferry, is [Y]",1
"The [X], who told laden with 81 cars, is [Y]",1
"The [X], who embarked for the voyage, is [Y]",1
"The [X], who passed the mole, is [Y]",1
"The [X], who capsized, is [Y]",1
"The [X], who turned rapidly to starboard, is [Y]",1
"The [X], who filled the ship, is [Y]",1
"The [X], who was open, is [Y]",2
"The [X], who checked, is [Y]",2
"The [X], who was painted a red, is [Y]",1
"The [X], who borrowed enough from Tape, is [Y]",1
"The [X], who blamed everyone, is [Y]",1
"The [X], who slid, is [Y]",2
"The [X], who stretched a wall of water, is [Y]",1
"The [X], who leaved house, is [Y]",1
"The [X], who was bright, is [Y]",1
"The [X], who felt at peace, is [Y]",1
"The [X], who was punishable by imprisonment, is [Y]",1
"The [X], who ed no felony, is [Y]",1
"The [X], who applied to more, is [Y]",1
"The [X], who was a story about an sin, is [Y]",1
"The [X], who accompanied mother, is [Y]",1
"The [X], who recoiled with eyes, is [Y]",1
"The [X], who accompanied the mothers, is [Y]",1
"The [X], who decided to lose mother, is [Y]",1
"The [X], who beared close to hatred, is [Y]",1
"The [X], who liked her, is [Y]",2
"The [X], who blamed progression, is [Y]",1
"The [X], who informed mother, is [Y]",1
"The [X], who had him, is [Y]",3
"The [X], who grew tall, is [Y]",1
"The [X], who agreed to terms, is [Y]",1
"The [X], who saw the ultimatum, is [Y]",1
"The [X], who told eccentric did meet Peregrine, is [Y]",1
"The [X], who believed her, is [Y]",1
"The [X], who invited mother, is [Y]",1
"The [X], who asked her, is [Y]",1
"The [X], who denied day, is [Y]",1
"The [X], who sent a view, is [Y]",1
"The [X], who propped the Palace, is [Y]",1
"The [X], who was nt until hand, is [Y]",1
"The [X], who was to keep the embarrassment, is [Y]",1
"The [X], who moved to the town, is [Y]",1
"The [X], who advanced in career, is [Y]",1
"The [X], who continued to ride morning, is [Y]",1
"The [X], who cycled into the yard, is [Y]",1
"The [X], who looked you, is [Y]",1
"The [X], who was in an attempt, is [Y]",1
"The [X], who hummed with the flutter, is [Y]",1
"The [X], who liked employers, is [Y]",1
"The [X], who opened door, is [Y]",1
"The [X], who found it, is [Y]",3
"The [X], who opened mouth, is [Y]",2
"The [X], who backed into room, is [Y]",1
"The [X], who saw aware of order, is [Y]",1
"The [X], who gestured them to two chairs, is [Y]",1
"The [X], who made a traverse, is [Y]",1
"The [X], who was at, is [Y]",4
"The [X], who checked on reputation, is [Y]",1
"The [X], who went to her, is [Y]",1
"The [X], who looked informal, is [Y]",1
"The [X], who took to Cassidy, is [Y]",1
"The [X], who was goodness, is [Y]",1
"The [X], who went on tours, is [Y]",1
"The [X], who required to live a groom, is [Y]",1
"The [X], who required to travel groom, is [Y]",1
"The [X], who suited them, is [Y]",1
"The [X], who said at, is [Y]",1
"The [X], who tended servant, is [Y]",1
"The [X], who forgave them, is [Y]",1
"The [X], who became a auctioneer, is [Y]",1
"The [X], who joined to organize a committee, is [Y]",1
"The [X], who grew devoted to employers, is [Y]",1
"The [X], who thought anyone, is [Y]",1
"The [X], who sent horses, is [Y]",1
"The [X], who retained reputation, is [Y]",1
"The [X], who payed a decorator, is [Y]",1
"The [X], who went routinely by limousine, is [Y]",1
"The [X], who made recordings, is [Y]",1
"The [X], who submitted to fittings, is [Y]",1
"The [X], who repressed a words, is [Y]",1
"The [X], who drove himself to shows, is [Y]",1
"The [X], who signed books, is [Y]",1
"The [X], who valued time, is [Y]",1
"The [X], who yelled at each other, is [Y]",1
"The [X], who set them, is [Y]",1
"The [X], who nodded the marriage, is [Y]",1
"The [X], who evaporated into steam, is [Y]",1
"The [X], who stamped about, is [Y]",1
"The [X], who played fortissimo, is [Y]",1
"The [X], who caused her, is [Y]",1
"The [X], who ate instead from outs, is [Y]",1
"The [X], who had nutritionists, is [Y]",1
"The [X], who walked into an row, is [Y]",1
"The [X], who stood mouth, is [Y]",1
"The [X], who shouted at her, is [Y]",1
"The [X], who made us, is [Y]",2
"The [X], who put a couple, is [Y]",1
"The [X], who made omelets, is [Y]",1
"The [X], who made three omelets, is [Y]",1
"The [X], who grinned at her, is [Y]",1
"The [X], who bled the artificiality, is [Y]",1
"The [X], who thought of them, is [Y]",1
"The [X], who was Oliver, is [Y]",1
"The [X], who imagined life without her, is [Y]",1
"The [X], who settled contentedly into a routine, is [Y]",1
"The [X], who decided the pleasure, is [Y]",1
"The [X], who had to explain Mona, is [Y]",1
"The [X], who heard rude to fathers, is [Y]",1
"The [X], who understood people, is [Y]",1
"The [X], who liked a house, is [Y]",1
"The [X], who succeeded in weeks, is [Y]",1
"The [X], who invented real, is [Y]",1
"The [X], who lived for one summer, is [Y]",1
"The [X], who enjoyed success, is [Y]",1
"The [X], who collected rosettes, is [Y]",1
"The [X], who went platinum, is [Y]",1
"The [X], who spent lightheartedly on tires, is [Y]",1
"The [X], who did proud, is [Y]",1
"The [X], who payed attention, is [Y]",1
"The [X], who graced the pages, is [Y]",1
"The [X], who snipped the pictures, is [Y]",1
"The [X], who wrote a note, is [Y]",1
"The [X], who tore the letter, is [Y]",1
"The [X], who strapped box, is [Y]",1
"The [X], who was daughter, is [Y]",1
"The [X], who was beautiful, is [Y]",1
"The [X], who said related to the earls, is [Y]",1
