template,frequency
"The [X], who was possible to find a career, is [Y]",1
"The [X], who increased chances, is [Y]",9
"The [X], who remembered to tailor letter, is [Y]",1
"The [X], who was the study of the properties, is [Y]",1
"The [X], who explored the types, is [Y]",18
"The [X], who was essential in manufacturing, is [Y]",1
"The [X], who learnt to select the material, is [Y]",1
"The [X], who learnt to Swim, is [Y]",1
"The [X], who was an skill, is [Y]",24
"The [X], who was active, is [Y]",2
"The [X], who was a activity, is [Y]",7
"The [X], who helped reduce, is [Y]",14
"The [X], who was essential to maintain a position, is [Y]",1
"The [X], who was crucial to breathe, is [Y]",1
"The [X], who inhaled through nose, is [Y]",1
"The [X], who moved in a motion, is [Y]",1
"The [X], who pulled through the water, is [Y]",1
"The [X], who kicked, is [Y]",1
"The [X], who pointed toes, is [Y]",1
"The [X], who was a stroke, is [Y]",2
"The [X], who bent knees, is [Y]",4
"The [X], who lifted arms, is [Y]",1
"The [X], who helped ensure, is [Y]",4
"The [X], who chose a swimsuit, is [Y]",1
"The [X], who helped keep, is [Y]",2
"The [X], who payed attention to the depth, is [Y]",1
"The [X], who drank plenty of water, is [Y]",1
"The [X], who enjoyed the benefits, is [Y]",4
"The [X], who allowed to learning, is [Y]",1
"The [X], who was a way, is [Y]",50
"The [X], who was Pouches, is [Y]",1
"The [X], who was packages, is [Y]",1
"The [X], who made of a material, is [Y]",2
"The [X], who came in varieties, is [Y]",1
"The [X], who was advantages to a pouch, is [Y]",1
"The [X], who took them with you, is [Y]",1
"The [X], who was healthier than types, is [Y]",1
"The [X], who was friendly, is [Y]",5
"The [X], who chose the Pouch, is [Y]",1
"The [X], who was factors, is [Y]",15
"The [X], who thought about what meal, is [Y]",1
"The [X], who considered low in sodium, is [Y]",1
"The [X], who thought about the brand, is [Y]",1
"The [X], who was some examples, is [Y]",15
"The [X], who contained a meal, is [Y]",1
"The [X], who made with ingredients, is [Y]",1
"The [X], who contained perfect for a lunch, is [Y]",1
"The [X], who came in flavors, is [Y]",3
"The [X], who contained can make a broth, is [Y]",1
"The [X], who contained can dress a sauce, is [Y]",1
"The [X], who learnt about pouches, is [Y]",1
"The [X], who explored some examples, is [Y]",2
"The [X], who made best for needs, is [Y]",1
"The [X], who explored policy, is [Y]",1
"The [X], who was abuse, is [Y]",1
"The [X], who was a issue, is [Y]",6
"The [X], who was health, is [Y]",3
"The [X], who was an aspect of policy, is [Y]",2
"The [X], who was care, is [Y]",3
"The [X], who was essential to retain professionals, is [Y]",1
"The [X], who was some professionals, is [Y]",1
"The [X], who implemented care, is [Y]",1
"The [X], who was considered a right, is [Y]",1
"The [X], who was essential in services, is [Y]",1
"The [X], who worked towards, is [Y]",6
"The [X], who worked towards all, is [Y]",1
"The [X], who used the query, is [Y]",1
"The [X], who used to search the operator, is [Y]",1
"The [X], who was a wildcard, is [Y]",1
"The [X], who matched any value, is [Y]",1
"The [X], who needed to modify the query, is [Y]",1
"The [X], who involved working, is [Y]",8
"The [X], who was designed to teach techniques, is [Y]",1
"The [X], who involved applying, is [Y]",3
"The [X], who involved creating, is [Y]",13
"The [X], who involved gentle on skin, is [Y]",1
"The [X], who did parties for children, is [Y]",1
"The [X], who involved hosting, is [Y]",1
"The [X], who came in shapes, is [Y]",5
"The [X], who was used to apply, is [Y]",1
"The [X], who was used smoother, is [Y]",1
"The [X], who was used to cover imperfections, is [Y]",1
"The [X], who was used to create an base, is [Y]",1
"The [X], who was used to add color, is [Y]",2
"The [X], who was used to create looks, is [Y]",1
"The [X], who was used to define the eyes, is [Y]",1
"The [X], who was to cleanse the skin, is [Y]",1
"The [X], who involved removing, is [Y]",1
"The [X], who applied Makeup, is [Y]",1
"The [X], who was to apply makeup, is [Y]",1
"The [X], who was to enhance the eyes, is [Y]",1
"The [X], who was to define the lips, is [Y]",1
"The [X], who was to set the makeup, is [Y]",1
"The [X], who became a artist, is [Y]",1
"The [X], who used to create looks, is [Y]",2
"The [X], who used to define the eyes, is [Y]",1
"The [X], who was the practice of, is [Y]",2
"The [X], who was important to learn responsibility, is [Y]",1
"The [X], who was essential for the humans, is [Y]",1
"The [X], who helped prevent, is [Y]",16
"The [X], who helped available for generations, is [Y]",1
"The [X], who reduced waste by materials, is [Y]",1
"The [X], who used to conserve appliances, is [Y]",1
"The [X], who used to reduce transportation, is [Y]",1
"The [X], who saved money on bills, is [Y]",2
"The [X], who improved quality, is [Y]",3
"The [X], who promoted a sense, is [Y]",4
"The [X], who served as an example, is [Y]",1
"The [X], who was crucial for generations, is [Y]",1
"The [X], who made a impact, is [Y]",6
"The [X], who remembered to reduce waste, is [Y]",1
"The [X], who worked the environment, is [Y]",1
"The [X], who learnt about technology, is [Y]",3
"The [X], who explored what, is [Y]",3
"The [X], who was able, is [Y]",26
"The [X], who defined technology, is [Y]",1
"The [X], who explained Lidar, is [Y]",1
"The [X], who identified the role, is [Y]",2
"The [X], who analyzed the potential, is [Y]",1
"The [X], who was a sensor, is [Y]",1
"The [X], who used in vehicles, is [Y]",2
"The [X], who was essential for vehicles, is [Y]",1
"The [X], who detected objects, is [Y]",1
"The [X], who worked by, is [Y]",7
"The [X], who calculated the distance, is [Y]",2
"The [X], who created a view, is [Y]",1
"The [X], who had advantages, is [Y]",11
"The [X], who measured distances, is [Y]",1
"The [X], who created a map, is [Y]",1
"The [X], who operated in conditions, is [Y]",1
"The [X], who was used to detect obstacles, is [Y]",1
"The [X], who helped the map, is [Y]",1
"The [X], who had a future, is [Y]",1
"The [X], who was used in drones, is [Y]",1
"The [X], who was a component in vehicles, is [Y]",1
"The [X], who prepared for the future, is [Y]",1
"The [X], who was Development, is [Y]",4
"The [X], who referred to the building, is [Y]",1
"The [X], who involved a variety, is [Y]",1
"The [X], who was Important, is [Y]",26
"The [X], who helped increase, is [Y]",8
"The [X], who involved steps, is [Y]",19
"The [X], who worked with clients, is [Y]",1
"The [X], who created wireframes, is [Y]",1
"The [X], who began building, is [Y]",2
"The [X], who was tested free of errors, is [Y]",1
"The [X], who was launched available, is [Y]",1
"The [X], who was benefits to, is [Y]",7
"The [X], who helped products, is [Y]",3
"The [X], who provided a platform, is [Y]",5
"The [X], who helped establish, is [Y]",1
