template,proportion
The [X] answered that [Y],12
The [X] let that [Y],12
The [X] was married and [Y],12
The [X] demanded that [Y],12
The [X] said in interviews that [Y],12
The [X] was impressed [Y],11
The [X] feared that [Y],11
The [X] was convinced that [Y],11
The [X] was a fan and [Y],11
The [X] was a character [Y],11
The [X] described what [Y],11
The [X] was a friend and [Y],11
The [X] said if [Y],11
The [X] convinced that [Y],11
The [X] spent years [Y],11
The [X] implied that [Y],11
The [X] expressed that [Y],11
The [X] began a relationship that [Y],11
The [X] told the press that [Y],11
The [X] attended a school that [Y],11
The [X] considered that [Y],11
The [X] published a paper that [Y],11
The [X] boasted that [Y],11
The [X] attended school [Y],11
The [X] joined the Party that [Y],11
The [X] understood that [Y],11
The [X] made a speech that [Y],11
The [X] moved to Angeles that [Y],11
The [X] issued a statement that [Y],11
The [X] travelled to Rome that [Y],11
The [X] was a supporter and [Y],11
The [X] went to College that [Y],11
The [X] saw that [Y],11
The [X] wrote a book that [Y],10
The [X] proclaimed that [Y],10
The [X] gave birth [Y],10
The [X] remembered that [Y],10
The [X] played the role that [Y],10
The [X] filed a lawsuit that [Y],10
The [X] was the first and [Y],10
The [X] died and [Y],10
The [X] was reluctant but [Y],10
The [X] spent the years that [Y],10
The [X] was present [Y],10
The [X] vowed that [Y],10
The [X] was unable and [Y],10
The [X] was active and [Y],10
The [X] enrolled at University that [Y],10
The [X] travelled to Paris that [Y],10
The [X] told them [Y],10
The [X] told them that [Y],10
The [X] was able because [Y],10
The [X] protested that [Y],9
The [X] was part and [Y],9
The [X] proposed that [Y],9
The [X] used the term that [Y],9
The [X] told us that [Y],9
The [X] criticized what [Y],9
The [X] made appearances [Y],9
The [X] took a job that [Y],9
The [X] hinted that [Y],9
The [X] requested that [Y],9
The [X] had a dream that [Y],9
The [X] was critical and [Y],9
The [X] had that [Y],9
The [X] moved to States that [Y],9
The [X] was surprised [Y],9
The [X] died before [Y],9
The [X] signed a contract that [Y],9
The [X] returned to York that [Y],9
The [X] delivered a speech that [Y],9
The [X] moved to London that [Y],9
The [X] travelled to London that [Y],9
The [X] returned to States that [Y],9
The [X] began that [Y],9
The [X] was present and [Y],9
The [X] became interested and [Y],9
The [X] went to say that [Y],9
The [X] was a man and [Y],9
The [X] served as president that [Y],9
The [X] told reporters that [Y],9
The [X] told an interviewer that [Y],9
The [X] returned to England that [Y],9
The [X] assumed that [Y],9
The [X] appeared in episode that [Y],9
The [X] was a professor [Y],9
The [X] returned to France that [Y],9
The [X] appointed him [Y],8
The [X] went to school that [Y],8
The [X] returned to Paris that [Y],8
The [X] used the name that [Y],8
The [X] had it that [Y],8
The [X] returned to Rome that [Y],8
The [X] died at age that [Y],8
The [X] accepted that [Y],8
The [X] developed an interest that [Y],8
The [X] held a conference that [Y],8
The [X] was the first but [Y],8
The [X] was confident that [Y],8
The [X] was famous [Y],8
The [X] did what [Y],8
The [X] did this because [Y],8
The [X] made an appearance that [Y],8
The [X] suffered a attack that [Y],8
The [X] was worried that [Y],8
The [X] was reluctant [Y],8
The [X] was aware and [Y],8
The [X] seemed that [Y],8
The [X] wrote a paper that [Y],8
The [X] was successful [Y],8
The [X] rose to prominence that [Y],8
The [X] received a letter that [Y],8
The [X] won a scholarship that [Y],8
The [X] attended school and [Y],8
The [X] took part [Y],8
The [X] received the Award that [Y],8
The [X] was the person [Y],8
The [X] took a interest that [Y],8
The [X] was a man [Y],8
The [X] was the founder and [Y],8
The [X] moved to Paris that [Y],8
The [X] laughed that [Y],8
The [X] was furious that [Y],7
The [X] published a series that [Y],7
The [X] said at time that [Y],7
The [X] played an role that [Y],7
The [X] spent years and [Y],7
The [X] was old and [Y],7
The [X] was unable that [Y],7
The [X] fell ill and [Y],7
The [X] had a reputation that [Y],7
The [X] was a native and [Y],7
The [X] entered the University that [Y],7
The [X] became the president [Y],7
The [X] became one and [Y],7
The [X] was surprised that [Y],7
The [X] attended schools and [Y],7
The [X] was angry that [Y],7
The [X] was pleased that [Y],7
The [X] gained attention [Y],7
The [X] was concerned [Y],7
The [X] held that [Y],7
The [X] was because [Y],7
The [X] coined the term that [Y],7
The [X] spoke that [Y],7
The [X] wrote an piece that [Y],7
The [X] determined that [Y],7
The [X] was unable because [Y],7
The [X] delivered a address that [Y],7
The [X] was the subject [Y],7
The [X] became the person [Y],7
The [X] told a reporter that [Y],7
The [X] leaved the band that [Y],7
The [X] held this position that [Y],7
The [X] wrote an letter that [Y],7
The [X] released a statement that [Y],7
The [X] became involved and [Y],7
The [X] had a son that [Y],7
The [X] entered College [Y],7
The [X] was happy and [Y],7
The [X] lived for years that [Y],7
The [X] proved that [Y],7
The [X] was able but [Y],7
The [X] was concerned that [Y],7
The [X] was in relationship that [Y],7
The [X] was one but [Y],7
The [X] emphasized that [Y],7
The [X] did that [Y],7
The [X] spent the winter that [Y],7
The [X] sent a message that [Y],7
The [X] joined the cast that [Y],7
The [X] was unhappy [Y],7
The [X] was and [Y],7
The [X] suffered a stroke that [Y],7
The [X] took place [Y],7
The [X] made a visit that [Y],7
The [X] gave an interview that [Y],7
The [X] appeared that [Y],7
The [X] published an article that [Y],7
The [X] arrived that [Y],7
The [X] was able that [Y],7
The [X] sent him and [Y],7
The [X] pledged that [Y],7
The [X] went to University that [Y],7
The [X] was successful that [Y],7
The [X] was responsible and [Y],7
The [X] told me that [Y],7
The [X] died the which that [Y],7
The [X] told the story that [Y],7
The [X] became the woman [Y],6
The [X] was happy [Y],6
The [X] published a book that [Y],6
The [X] was familiar and [Y],6
The [X] came to end that [Y],6
The [X] gave the name that [Y],6
The [X] became a member [Y],6
The [X] took refuge [Y],6
The [X] discussed what [Y],6
The [X] finished the season that [Y],6
The [X] received attention [Y],6
The [X] stated a that that [Y],6
The [X] was the president [Y],6
The [X] was certain that [Y],6
The [X] wrote an article that [Y],6
The [X] leaved that [Y],6
The [X] was a writer [Y],6
The [X] became director [Y],6
The [X] received a education that [Y],6
The [X] promoted what [Y],6
The [X] accepted a position that [Y],6
The [X] developed what [Y],6
The [X] had a appearance that [Y],6
The [X] attended School but [Y],6
The [X] married that [Y],6
The [X] ensured that [Y],6
The [X] was the member [Y],6
The [X] was responsible [Y],6
The [X] was a student and [Y],6
The [X] wrote an essay that [Y],6
The [X] appeared in film that [Y],6
The [X] was furious [Y],6
The [X] filed for divorce that [Y],6
The [X] had a interest that [Y],6
The [X] was interested [Y],6
The [X] became friends [Y],6
The [X] received the Prize that [Y],6
The [X] argued the what that [Y],6
The [X] kept a journal that [Y],6
The [X] lamented that [Y],6
The [X] was a resident [Y],6
The [X] joined the team that [Y],6
The [X] argued the which that [Y],6
The [X] expressed regret that [Y],6
The [X] was a professor and [Y],6
The [X] appeared in films that [Y],6
The [X] became a member and [Y],6
The [X] disclosed that [Y],6
The [X] had the power that [Y],6
The [X] led the team that [Y],6
The [X] chose the name that [Y],6
The [X] objected that [Y],6
The [X] made history [Y],6
The [X] was the person and [Y],6
The [X] was pregnant [Y],6
The [X] wrote a review that [Y],6
The [X] attended the school that [Y],6
The [X] appointed him and [Y],6
The [X] became interested [Y],6
The [X] was a student [Y],6
The [X] moved to York that [Y],6
The [X] wrote a number that [Y],6
The [X] was unaware that [Y],6
The [X] told the audience that [Y],6
The [X] joined the Association that [Y],5
The [X] claimed him that [Y],5
The [X] appeared as character that [Y],5
The [X] went to London that [Y],5
The [X] was a contemporary and [Y],5
The [X] took a position that [Y],5
The [X] wrote a treatise that [Y],5
The [X] called him and [Y],5
The [X] gave a account that [Y],5
The [X] was in charge that [Y],5
The [X] died the that that [Y],5
The [X] enrolled at College that [Y],5
The [X] was a critic [Y],5
The [X] became known [Y],5
The [X] warned that [Y],5
The [X] made the decision that [Y],5
The [X] knew what [Y],5
The [X] was a member but [Y],5
The [X] became the medallist [Y],5
The [X] gave the impression that [Y],5
The [X] told us [Y],5
The [X] affirmed that [Y],5
The [X] described him that [Y],5
The [X] held the position that [Y],5
The [X] was present as [Y],5
The [X] attended College and [Y],5
The [X] appeared in series that [Y],5
The [X] was known [Y],5
The [X] moved to Hollywood that [Y],5
The [X] turned the role that [Y],5
The [X] was a advocate and [Y],5
The [X] rejected what [Y],5
The [X] resigned after [Y],5
The [X] pursued a career that [Y],5
The [X] was president [Y],5
The [X] wrote a article that [Y],5
The [X] was the member and [Y],5
The [X] was unhappy that [Y],5
The [X] was the woman [Y],5
The [X] had a falling that [Y],5
The [X] looked as [Y],5
The [X] died on January that [Y],5
The [X] said the that that [Y],5
The [X] received a degree that [Y],5
The [X] was at time that [Y],5
The [X] accepted the offer that [Y],5
The [X] was popular and [Y],5
The [X] became frustrated that [Y],5
The [X] pretended that [Y],5
The [X] said the which that [Y],5
The [X] was opposed [Y],5
The [X] said one that [Y],5
The [X] was interested but [Y],5
The [X] returned to Germany that [Y],5
The [X] came under fire that [Y],5
The [X] made a series that [Y],5
The [X] spent weeks [Y],5
The [X] was willing but [Y],5
The [X] professed that [Y],5
The [X] was the daughter and [Y],5
The [X] payed tribute [Y],5
The [X] was unsuccessful and [Y],5
The [X] was appalled that [Y],5
The [X] was the subject and [Y],5
The [X] returned to City that [Y],5
The [X] was the chairman and [Y],5
The [X] became president [Y],5
The [X] was in position that [Y],5
The [X] was the first though [Y],5
The [X] was reluctant as [Y],5
The [X] was fond [Y],5
The [X] contended that [Y],5
The [X] stood that [Y],5
The [X] informed her that [Y],5
The [X] returned and [Y],5
The [X] attended college [Y],5
The [X] spent the summer that [Y],5
The [X] retorted that [Y],5
The [X] was influential and [Y],5
The [X] recognized that [Y],5
The [X] was an advocate and [Y],5
The [X] ruled that [Y],5
The [X] regretted that [Y],5
The [X] used a technique that [Y],5
The [X] said him that [Y],5
The [X] testified under oath that [Y],5
The [X] wrote the which that [Y],5
The [X] started work [Y],5
The [X] was an admirer [Y],5
The [X] was concerned and [Y],5
The [X] was on terms that [Y],5
The [X] served for years that [Y],5
The [X] was a supporter [Y],5
The [X] told me [Y],5
The [X] criticised what [Y],5
The [X] noted the which that [Y],5
The [X] was close and [Y],5
The [X] was the line [Y],5
The [X] went to France that [Y],5
The [X] came from family that [Y],5
The [X] declined the offer that [Y],5
The [X] leaved the group that [Y],5
The [X] conceived the idea that [Y],5
The [X] stressed that [Y],5
The [X] remained in position that [Y],5
The [X] stirred controversy [Y],5
The [X] had a home that [Y],5
The [X] returned to London that [Y],5
The [X] told reporters [Y],5
The [X] was a figure and [Y],5
The [X] wrote the script that [Y],5
The [X] went into exile that [Y],5
The [X] wrote the book that [Y],5
The [X] condemned what [Y],5
The [X] was determined [Y],5
The [X] grew tired and [Y],5
The [X] quipped that [Y],5
The [X] was ill and [Y],5
The [X] joined the Army that [Y],5
The [X] did work [Y],5
The [X] became Minister [Y],5
The [X] was sure that [Y],5
The [X] warned him that [Y],5
The [X] gave a address that [Y],5
The [X] was as [Y],5
The [X] was the king and [Y],5
The [X] found and [Y],5
The [X] was in band that [Y],5
The [X] was the player [Y],5
The [X] sent him [Y],5
The [X] did all [Y],5
The [X] had a career that [Y],5
The [X] told her [Y],5
The [X] built a house that [Y],5
The [X] reprised the role that [Y],5
The [X] received a grant that [Y],5
The [X] wrote what [Y],5
The [X] said the him that [Y],5
The [X] was unable as [Y],5
The [X] was able as [Y],5
The [X] returned to Italy that [Y],4
The [X] developed a theory that [Y],4
The [X] argued what that [Y],4
The [X] ascended the throne that [Y],4
The [X] went to Rome that [Y],4
The [X] was impressed and [Y],4
The [X] agreed and [Y],4
The [X] moved to town that [Y],4
The [X] was no evidence that [Y],4
The [X] wrote a poem that [Y],4
The [X] had a collection that [Y],4
The [X] visited Paris [Y],4
The [X] was Professor and [Y],4
The [X] served as producer that [Y],4
The [X] told the Times that [Y],4
The [X] denounced what [Y],4
The [X] announced the that that [Y],4
The [X] countered that [Y],4
The [X] was aware [Y],4
The [X] was ready but [Y],4
The [X] was skeptical [Y],4
The [X] recorded an album that [Y],4
The [X] pursued him [Y],4
The [X] fled to Egypt that [Y],4
The [X] was the president and [Y],4
The [X] published an essay that [Y],4
The [X] broke the barrier that [Y],4
The [X] was reluctant that [Y],4
The [X] was excited [Y],4
The [X] transferred to University that [Y],4
The [X] was a Catholic and [Y],4
The [X] set a record that [Y],4
The [X] was the one and [Y],4
The [X] reached the quarterfinals that [Y],4
The [X] took part and [Y],4
The [X] drew criticism [Y],4
The [X] remained popular and [Y],4
The [X] taught at University that [Y],4
The [X] had a regard that [Y],4
The [X] stipulated that [Y],4
The [X] wrote and [Y],4
The [X] used what [Y],4
The [X] travelled to England that [Y],4
The [X] noted one that [Y],4
The [X] was likely [Y],4
The [X] delivered an address that [Y],4
The [X] wrote in letter that [Y],4
The [X] was eager that [Y],4
The [X] was likely that [Y],4
The [X] moved to University that [Y],4
The [X] visited England [Y],4
The [X] went on tour that [Y],4
The [X] was suspicious and [Y],4
The [X] made the landing that [Y],4
The [X] settled in City that [Y],4
The [X] did as [Y],4
The [X] appeared in number that [Y],4
The [X] told the media that [Y],4
The [X] married a woman that [Y],4
The [X] wrote the lyrics that [Y],4
The [X] was upset [Y],4
The [X] found what [Y],4
The [X] became ill and [Y],4
The [X] joined the faculty that [Y],4
The [X] was unhappy and [Y],4
The [X] had the idea that [Y],4
The [X] was clear [Y],4
The [X] told a story that [Y],4
The [X] began work [Y],4
The [X] came with name that [Y],4
The [X] became friends and [Y],4
The [X] accepted the role that [Y],4
The [X] disliked what [Y],4
The [X] made what [Y],4
The [X] received a scholarship that [Y],4
The [X] made visits and [Y],4
The [X] lived in Paris that [Y],4
The [X] spent time and [Y],4
The [X] performed the song that [Y],4
The [X] attended schools [Y],4
The [X] said because [Y],4
The [X] published a pamphlet that [Y],4
The [X] was due that [Y],4
The [X] found success [Y],4
The [X] ruled for years that [Y],4
The [X] attracted attention [Y],4
The [X] told silent that [Y],4
The [X] was a critic and [Y],4
The [X] lived in Washington that [Y],4
The [X] attended Academy [Y],4
The [X] was a veteran [Y],4
The [X] became a figure and [Y],4
The [X] gave birth and [Y],4
The [X] was a character and [Y],4
The [X] wondered if [Y],4
The [X] was the player and [Y],4
The [X] was ill [Y],4
The [X] objected what [Y],4
The [X] joined the Society that [Y],4
The [X] was said that [Y],4
The [X] was one that [Y],4
The [X] returned to Broadway that [Y],4
The [X] had trouble [Y],4
The [X] became famous [Y],4
The [X] went to England that [Y],4
The [X] got what [Y],4
The [X] was choice but [Y],4
The [X] died of cancer that [Y],4
The [X] had a cameo that [Y],4
The [X] was what [Y],4
The [X] wrote a column that [Y],4
The [X] was one although [Y],4
The [X] was convinced [Y],4
The [X] gained recognition [Y],4
The [X] reached the final that [Y],4
The [X] sent a note that [Y],4
The [X] stated one that [Y],4
The [X] was a poet and [Y],4
The [X] explained what [Y],4
The [X] caused controversy [Y],4
The [X] spent some time that [Y],4
The [X] used it [Y],4
The [X] ordered that [Y],4
The [X] wrote a screenplay that [Y],4
The [X] visited Moscow [Y],4
The [X] began a novel that [Y],4
The [X] informed him [Y],4
The [X] was outraged and [Y],4
The [X] wrote the screenplay that [Y],4
The [X] denied this that [Y],4
The [X] wanted the role that [Y],4
The [X] exclaimed that [Y],4
The [X] lambasted it that [Y],4
The [X] had a history that [Y],4
The [X] listed what [Y],4
The [X] did everything [Y],4
The [X] held the office that [Y],4
The [X] payed a visit that [Y],4
The [X] was opposed and [Y],4
The [X] was friendly and [Y],4
The [X] worked the which that [Y],4
The [X] became concerned [Y],4
The [X] went as [Y],4
The [X] went to Paris that [Y],4
The [X] wrote letters [Y],4
The [X] was popular [Y],4
The [X] moved to France that [Y],4
The [X] studied at College that [Y],4
The [X] heard that [Y],4
The [X] failed but [Y],4
The [X] found a job that [Y],4
The [X] became convinced that [Y],4
The [X] wrote stories [Y],4
The [X] was the first although [Y],4
The [X] called it [Y],4
The [X] took the lead that [Y],4
The [X] assured her that [Y],4
The [X] investigated the properties that [Y],4
The [X] called what [Y],4
The [X] asked what [Y],4
The [X] worked a which that [Y],4
The [X] started the which that [Y],4
The [X] resigned from office that [Y],4
The [X] described it [Y],4
The [X] wrote him that [Y],4
The [X] was active [Y],4
The [X] was which [Y],4
The [X] was uncertain [Y],4
The [X] moved to California that [Y],4
The [X] informed him that [Y],4
The [X] was unique that [Y],4
The [X] made a announcement that [Y],4
The [X] did this [Y],4
The [X] was a figure [Y],4
The [X] was a man but [Y],4
The [X] said but [Y],4
The [X] suffered from tuberculosis that [Y],4
The [X] was the actor and [Y],4
The [X] returned to University that [Y],4
The [X] received a call that [Y],4
The [X] attended the convention that [Y],4
The [X] was instrumental and [Y],4
The [X] claimed in interview that [Y],4
The [X] declined because [Y],4
The [X] asked him and [Y],4
The [X] told police [Y],4
The [X] was proud [Y],4
The [X] had a affair that [Y],4
The [X] expressed concern that [Y],4
The [X] made the move that [Y],4
The [X] lived a life that [Y],4
The [X] was able before [Y],4
The [X] offered a contract that [Y],4
The [X] was interested that [Y],4
The [X] took him [Y],4
The [X] arrived and [Y],4
The [X] was unpopular that [Y],4
The [X] had an opportunity that [Y],4
The [X] played a part that [Y],4
The [X] composed the music that [Y],4
The [X] appeared in season that [Y],4
The [X] became the player [Y],4
The [X] continued that [Y],4
The [X] received % [Y],4
The [X] arrived in area that [Y],4
The [X] rejected the offer that [Y],4
The [X] took control and [Y],4
The [X] lived until [Y],4
The [X] resented the fact that [Y],4
The [X] told a friend that [Y],4
The [X] earned a degree that [Y],4
The [X] starred in film that [Y],4
The [X] was director [Y],4
The [X] saw the film that [Y],4
The [X] had the option that [Y],4
The [X] became the winner [Y],4
The [X] surmised that [Y],4
The [X] found the town that [Y],4
The [X] served as mayor that [Y],4
The [X] was clear that [Y],3
The [X] said what that [Y],3
The [X] was unsure [Y],3
The [X] had affairs and [Y],3
The [X] received the news that [Y],3
The [X] led a life that [Y],3
The [X] became popular and [Y],3
The [X] made the statement that [Y],3
The [X] returned to Britain that [Y],3
The [X] travelled to Petersburg that [Y],3
The [X] was intelligent and [Y],3
The [X] became responsible [Y],3
The [X] lived for time that [Y],3
The [X] assured him that [Y],3
The [X] sacked the capital that [Y],3
The [X] joined the group that [Y],3
The [X] fled to Arabia that [Y],3
The [X] was outraged [Y],3
The [X] issued a proclamation that [Y],3
The [X] sought the nomination that [Y],3
The [X] wrote as [Y],3
The [X] lived in France that [Y],3
The [X] was the owner [Y],3
The [X] entered the school that [Y],3
The [X] forced him [Y],3
The [X] died while [Y],3
The [X] revealed in interview that [Y],3
The [X] resigned that [Y],3
The [X] spent the remainder that [Y],3
The [X] became a professor [Y],3
The [X] was a visitor [Y],3
The [X] concurred that [Y],3
The [X] pled guilty and [Y],3
The [X] turned that [Y],3
The [X] went to Florence that [Y],3
The [X] issued a decree that [Y],3
The [X] was the author and [Y],3
The [X] wrote one that [Y],3
The [X] served as director that [Y],3
The [X] conducted an experiment that [Y],3
The [X] was wary [Y],3
The [X] received a summons that [Y],3
The [X] travelled to Emirates that [Y],3
The [X] became engaged [Y],3
The [X] served as minister that [Y],3
The [X] was shocked [Y],3
The [X] hit runs and [Y],3
The [X] said a that that [Y],3
The [X] was 11 [Y],3
The [X] was a member although [Y],3
The [X] admitted this that [Y],3
The [X] remained in office that [Y],3
The [X] took care and [Y],3
The [X] developed a interest that [Y],3
The [X] was a actor but [Y],3
The [X] attended the Council that [Y],3
The [X] took part but [Y],3
The [X] placed him [Y],3
The [X] liked what [Y],3
The [X] entered politics [Y],3
The [X] was mayor [Y],3
The [X] moved that [Y],3
The [X] was present but [Y],3
The [X] led an expedition that [Y],3
The [X] was present that [Y],3
The [X] was thrilled and [Y],3
The [X] rejected the suggestion that [Y],3
The [X] regained consciousness and [Y],3
The [X] gave way and [Y],3
The [X] enrolled in School that [Y],3
The [X] moved to Milan that [Y],3
The [X] claimed the which that [Y],3
The [X] died as [Y],3
The [X] wrote a opinion that [Y],3
The [X] became one [Y],3
The [X] landed a job that [Y],3
The [X] served as Chief that [Y],3
The [X] was on list that [Y],3
The [X] developed a relationship that [Y],3
The [X] said the thing that [Y],3
The [X] found the company that [Y],3
The [X] told magazine that [Y],3
The [X] played the guitar that [Y],3
The [X] suffered that [Y],3
The [X] referred to him that [Y],3
The [X] promised them [Y],3
The [X] was afraid that [Y],3
The [X] argued the form that [Y],3
The [X] knew in court that [Y],3
The [X] was interested as [Y],3
The [X] was the creator and [Y],3
The [X] was a monk and [Y],3
The [X] invited him and [Y],3
The [X] wrote one and [Y],3
The [X] married the princess that [Y],3
The [X] moved to Washington that [Y],3
The [X] made headlines [Y],3
The [X] made a statement that [Y],3
The [X] attended School until [Y],3
The [X] was the director and [Y],3
The [X] was a pioneer [Y],3
The [X] was a character though [Y],3
The [X] wrote the stories that [Y],3
The [X] received an degree that [Y],3
The [X] ended the relationship that [Y],3
The [X] described the process that [Y],3
The [X] had the support that [Y],3
The [X] stated in interviews that [Y],3
The [X] married but [Y],3
The [X] became angry that [Y],3
The [X] was hopeful that [Y],3
The [X] suspected that [Y],3
The [X] emigrated to States that [Y],3
The [X] did work and [Y],3
The [X] died on December that [Y],3
The [X] moved to Athens that [Y],3
The [X] played the piano that [Y],3
The [X] was popular that [Y],3
The [X] defined what [Y],3
The [X] travelled to Japan that [Y],3
The [X] commented what [Y],3
The [X] made a trip that [Y],3
The [X] wrote which [Y],3
The [X] was an student and [Y],3
The [X] returned to Constantinople that [Y],3
The [X] wrote a foreword that [Y],3
The [X] attributed the success that [Y],3
The [X] was the author [Y],3
The [X] called that [Y],3
The [X] was angry [Y],3
The [X] claimed the that that [Y],3
The [X] lost the election that [Y],3
The [X] submitted a report that [Y],3
The [X] came to aid that [Y],3
The [X] called the film that [Y],3
The [X] was a man as [Y],3
The [X] was confident [Y],3
The [X] claimed the him that [Y],3
The [X] had a tendency that [Y],3
The [X] rejected this offer that [Y],3
The [X] leaved Adam after [Y],3
The [X] solved the problem that [Y],3
The [X] enrolled in College that [Y],3
The [X] earned a reputation that [Y],3
The [X] travelled to York that [Y],3
The [X] spent months and [Y],3
The [X] returned the what that [Y],3
The [X] became enamored and [Y],3
The [X] failed and [Y],3
The [X] announced on May that [Y],3
The [X] was proud that [Y],3
The [X] was married but [Y],3
The [X] was exhausted that [Y],3
The [X] was a priest and [Y],3
The [X] issued an order that [Y],3
The [X] published that [Y],3
The [X] was reluctant because [Y],3
The [X] noted the that that [Y],3
The [X] appeared on episode that [Y],3
The [X] took a line that [Y],3
The [X] served as head that [Y],3
The [X] served as governor that [Y],3
The [X] was more and [Y],3
The [X] published a report that [Y],3
The [X] asked whether [Y],3
The [X] was a patron and [Y],3
The [X] told the BBC that [Y],3
The [X] payed attention and [Y],3
The [X] was skilled and [Y],3
The [X] gave an explanation that [Y],3
The [X] confided that [Y],3
The [X] made a distinction that [Y],3
The [X] served as officer that [Y],3
The [X] won election and [Y],3
The [X] had a sister that [Y],3
The [X] admitted to him that [Y],3
The [X] was the focus [Y],3
The [X] was patron and [Y],3
The [X] reassured him that [Y],3
The [X] did and [Y],3
The [X] entered politics and [Y],3
The [X] was keen [Y],3
The [X] received a credit that [Y],3
The [X] was upset that [Y],3
The [X] enjoyed a relationship that [Y],3
The [X] was the originator but [Y],3
The [X] led on ballot that [Y],3
The [X] liked it [Y],3
The [X] took that [Y],3
The [X] moved to Boston that [Y],3
The [X] was unhappy as [Y],3
The [X] conceded that [Y],3
The [X] described him [Y],3
The [X] received word that [Y],3
The [X] informed that [Y],3
The [X] was the figure [Y],3
The [X] made use and [Y],3
The [X] had success [Y],3
The [X] served as professor that [Y],3
The [X] visited the Union that [Y],3
The [X] worked on adaptation that [Y],3
The [X] was furious but [Y],3
The [X] issued a release that [Y],3
The [X] took advantage [Y],3
The [X] served as chairman that [Y],3
The [X] made the trip that [Y],3
The [X] attended College but [Y],3
The [X] took a hiatus that [Y],3
The [X] was the driver [Y],3
The [X] won the title that [Y],3
The [X] was the subject that [Y],3
The [X] specified that [Y],3
The [X] was opposed as [Y],3
The [X] introduced the term that [Y],3
The [X] attributed this [Y],3
The [X] was nineteen [Y],3
The [X] entered the room that [Y],3
The [X] returned to Berlin that [Y],3
The [X] returned to Europe that [Y],3
The [X] wrote music [Y],3
The [X] won the medal that [Y],3
The [X] lived a which that [Y],3
The [X] was the head and [Y],3
The [X] enrolled at School that [Y],3
The [X] believed an which that [Y],3
The [X] was determined that [Y],3
The [X] asked X [Y],3
The [X] went to court that [Y],3
The [X] was older than [Y],3
The [X] was the chairman [Y],3
The [X] was a supporter that [Y],3
The [X] became chairman and [Y],3
The [X] spent sums [Y],3
The [X] found a number that [Y],3
The [X] took the step that [Y],3
The [X] was amused that [Y],3
The [X] had a stint that [Y],3
The [X] became the champion [Y],3
The [X] called a conference that [Y],3
The [X] was the leader and [Y],3
The [X] began a campaign that [Y],3
